Label,ID,Count of Links,Entity Short Form,Tags,Type,SubType,OrgClass,OrgSubType,Portfolio,EntityToType (from Connections - Entity To),EntityFromType (from Connections - Entity From),URL,Source of Entry,Contributor - Private,Connection Notes,Admin Flag,Admin Notes,Data Provider,Possible Duplicate,Record Status,Attachments,DataSize,Climate Size,Not4DERD,Has Data Strategy?,Count (Tags),Last Modified By,Last Modified,Created,Connections - Entity From,Connections - Entity To,To ID,From ID,Count (Connections - Entity From),Count (Connections - Entity To),Entity To Tags (from Connections - Entity To),Entity From Tags (from Connections - Entity From),URL 2,Image,French Entity Full Name,Entity Type FR (from Type),Entity sub-type FR (from SubType),French Short Form,FrenchOrgClassName (from OrgClass 2),French URL,FrenchAvail?,Add new entity form text,Entity Lookup,Form Section - finished required,Comments Test,Suggested Tags,Contacts,DigitalTalentSize,Entity To (from Connections - Entity From),Entity From (from Connections - Entity To),ID Text,Entity Type Eng (from Type),Entity sub-type (from SubType),Name (from OrgClass),Name (from Portfolio),Name (from Tags)
DM Committee on Digitization of Services,12,10,,"Governance, DataCentric , DigitalAmbition",Committees,Committees,GC Interdepartmental,,,"Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees",,https://www.canada.ca/en/privy-council/programs/appointments/senior-public-service/deputy-minister-committees.html,Original Prototype,,,,"Shugart, Ian (Co-Chair); Wallace, Peter (Co-Chair); Gideon, Valerie; Hamilton, Bob; MacDonald, Lori; Matthews, Bill; Natynczyk, General (retired) Walt; Ossowski, John; Xavier, Caroline",,,Legacy,,,,,,3,Thom Kearney,3/20/2023 7:32am,1/27/2021,,"16, 130, 133, 134, 135, 136, 138, 140, 142, 143","16, 130, 133, 134, 135, 136, 138, 140, 142, 143",,10,0,"Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition",,,,,Comités,Comités,,,https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/evp-pvp/spb-dgps-fra.html,,,,,,,,2,,"Privy Council Office (PCO), Employment and Social Development Canada (ESDC), Treasury Board of Canada Secretariat (TBS), Privy Council Office (PCO), Indigenous Services Canada (ISC), Canada Revenue Agency (CRA), Public Services and Procurement Canada (PSPC), Veterans Affairs Canada (VAC) , Canada Border Services Agency (CBSA), ""Immigration, Refugees and Citizenship Canada (IRCC)""",12,Committees,Committees,GC Interdepartmental,,"Governance, DataCentric , DigitalAmbition"
DM Committee on Enterprise Priorities & Planning,13,10,,"Governance, DataCentric , DigitalAmbition, DataTalent",Committees,Committees,GC Interdepartmental,,,"Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees",Committees,https://www.canada.ca/en/privy-council/programs/appointments/senior-public-service/deputy-minister-committees.html,Original Prototype,,,,"MacDonald, Lori (Co-Chair); 
Wallace, Peter (Co-Chair); 
Bruce, Shelly; 
Glover, Paul; 
Hamilton, Bob; 
Matthews, Bill; 
Natynczyk, General (retired) Walt; 
Xavier, Caroline",,,Legacy,,2,,,,4,Thom Kearney,3/20/2023 7:32am,1/27/2021,5671,"90, 131, 132, 137, 139, 141, 144, 145, 146","90, 131, 132, 137, 139, 141, 144, 145, 146",5671,9,1,"Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent, Governance, DataCentric , DigitalAmbition, DataTalent","Governance, DataCentric , DigitalAmbition, DataTalent",,,,Comités,Comités,,,https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/evp-pvp/spb-dgps-fra.html,,,,,,,,4,ADM Committee on Service and Enterprise Priorities,"Privy Council Office (PCO), Employment and Social Development Canada (ESDC), Treasury Board of Canada Secretariat (TBS), Canada Revenue Agency (CRA), Public Services and Procurement Canada (PSPC), Veterans Affairs Canada (VAC) , Communications Security Establishment Canada (CSEC), Shared Services Canada (SSC), ""Immigration, Refugees and Citizenship Canada (IRCC)""",13,Committees,Committees,GC Interdepartmental,,"Governance, DataCentric , DigitalAmbition, DataTalent"
DM Committee on Governance in a Digital Age,14,1,,"Governance, DataCentric , DigitalAmbition",Committees,Committees,GC Interdepartmental,,,Committees,,https://www.canada.ca/en/privy-council/programs/appointments/senior-public-service/deputy-minister-committees.html,Original Prototype,,,,"Kennedy, Simon (Co-Chair); Mondou, Isabelle (Co-Chair); Daigle, François; Namiesniowski, Tina; O'Gorman, Erin; Stewart, Rob",,,Legacy,,,,,,3,Thom Kearney,3/20/2023 7:32am,1/27/2021,,62,62,,1,0,"Governance, DataCentric , DigitalAmbition",,,,,Comités,Comités,,,https://www.cbsa-asfc.gc.ca/pd-dp/tb-ct/evp-pvp/spb-dgps-fra.html,,,,,,,,1,,Privy Council Office (PCO),14,Committees,Committees,GC Interdepartmental,,"Governance, DataCentric , DigitalAmbition"
GC Enterprise Architecture Review Board,15,3,GC EARB,"Governance, DataCentric , DigitalAmbition",Committees,Boards,Government of Canada,,,Committees,"Committees, Committees",https://wiki.gccollab.ca/GC_Enterprise_Architecture/Board; https://gcconnex.gc.ca/groups/profile/29755185/gc-enterprise-architecture-review-board-comite-dexamen-de-larchitecture-integree-du-gc-comite-dexamen-de-larchitecture-dentreprise-du-gc?language=en,Original Prototype,,,,,,,Legacy,,2,,,,3,Thom Kearney,3/20/2023 7:32am,1/27/2021,"641, 5510",36,36,"641, 5510",1,2,"Governance, DataCentric , DigitalAmbition","Governance, DataCentric , DigitalAmbition, Governance, DataCentric , DigitalAmbition",,,Comite d'examen de l'architecture integree du gc,Comités,Conseils d'administration,,Gouvernement du Canada,,,,,,,,,1,"GC Enterprise Architecture Framework, GC Enterprise Architecture Community of Practice",TBS - Office of the Chief Information Officer (OCIO),15,Committees,Boards,Government of Canada,,"Governance, DataCentric , DigitalAmbition"
GC Enterprise Data Community of Practice (EDCoP) Steering Committee ,16,4,EDCoP,"DataPractitioner, Governance, DataCentric , DataTalent",Committees,Committees,GC Interdepartmental,,,Committees,"Committees, Committees, Committees",https://gccollab.ca/file/group/4427318/all#6416518,Original Prototype,,,checked,New name as it merged with IM Community,,,Legacy,,2,,,,4,Thom Kearney,3/20/2023 7:32am,1/27/2021,"244, 248, 570",29,29,"244, 248, 570",1,3,"DataPractitioner, Governance, DataCentric , DataTalent","DataPractitioner, Governance, DataCentric , DataTalent, DataPractitioner, Governance, DataCentric , DataTalent, DataPractitioner, Governance, DataCentric , DataTalent",,,,Comités,Comités,,,https://gccollab.ca/groups/profile/4427318/gc-enterprise-data-community-of-practice-communaut-de-pratique-sur-les-donn-es-int-gr-es-du-gc,,,,,,,,1,"GC EDCoP People & Culture Working Group, GC EDCoP Data Architecture Working Group, GC Enterprise Data Community of Practice",TBS - Office of the Chief Information Officer (OCIO),16,Committees,Committees,GC Interdepartmental,,"DataPractitioner, Governance, DataCentric , DataTalent"
FTP Consultative Council on Statistical Policy,18,1,,"Governance, Climate, DataCentric ",Committees,Councils,PT+ FN,,,Committees,,,Original Prototype,,,,,,,Legacy,,,,checked,,3,Thom Kearney,3/20/2023 7:32am,1/27/2021,,34,34,,1,0,"Governance, Climate, DataCentric ",,,,,Comités,Conseils,,,,,,,,,,,,,Statistics Canada (StatCan),18,Committees,Councils,PT+ FN,,"Governance, Climate, DataCentric "
FTP Joint Councils,19,25,,"Governance, Climate",Committees,Councils,Multi-Jurisdictional,,,"Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees, Committees",,,Original Prototype,,,,,,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,1/27/2021,,"64, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 5651, 5652, 5653, 5654, 5655, 5656, 5657, 5658, 5659, 5660, 5661","64, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 5651, 5652, 5653, 5654, 5655, 5656, 5657, 5658, 5659, 5660, 5661",,25,0,"Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate, Governance, Climate",,,,,Comités,Conseils,,,,,,,,,,,,,"Treasury Board of Canada Secretariat (TBS), Ontario Government, Alberta Government , Manitoba Government , British Columbia Government, New Brunswick Government , Newfoundland and Labrador Government , Nova Scotia Government , Prince Edward Island Government , Quebec Government, Saskatchewan Government , Northwest Territories Government , Nunavut Government , Yukon Government, Newfoundland and Labrador Government , New Brunswick Government , Nova Scotia Government , Prince Edward Island Government , Quebec Government, Manitoba Government , Saskatchewan Government , Alberta Government , British Columbia Government, Nunavut Government , Northwest Territories Government ",19,Committees,Councils,Multi-Jurisdictional,,"Governance, Climate"
One GC Council,20,2,,"DataCentric , DigitalAmbition",Committees,Councils,GC Interdepartmental,,,Committees,Committees,,Original Prototype,,,,,,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,1/27/2021,27,65,65,27,1,1,"DataCentric , DigitalAmbition","DataCentric , DigitalAmbition",,,,Comités,Conseils,,,,,,,,,,,1,TBS - OneGC Project,TBS - Office of the Chief Information Officer (OCIO),20,Committees,Councils,GC Interdepartmental,,"DataCentric , DigitalAmbition"
GC Access to Information Community,23,1,,"DataCentric , DigitalAmbition",Communities,Communities,GC Interdepartmental,,,Communities,,,Original Prototype,,,checked,"More info to come from Jessica at TBS. 
Not sure what the central org is, but this needs to be part of picture. ",,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,1/27/2021,,31,31,,1,0,"DataCentric , DigitalAmbition",,,,,Communautés ,Communautés,,,,,,,,,,,1,,TBS - Office of the Chief Information Officer (OCIO),23,Communities,Communities,GC Interdepartmental,,"DataCentric , DigitalAmbition"
Community of Federal Regulators,24,2,CFR,"DataCentric , Climate, RegTech",Communities,Communities,GC Interdepartmental,,,Communities,Communities,https://gccollab.ca/profile/Community.Of.Federal.Regulators,Original Prototype,,,,,,,Legacy,,,,,,3,Thom Kearney,3/20/2023 7:32am,1/27/2021,855,7,7,855,1,1,"DataCentric , Climate, RegTech","DataCentric , Climate, RegTech",,,Communauté des régulateurs fédéraux,Communautés ,Communautés,,,https://gccollab.ca/profile/Community.Of.Federal.Regulators,,,,,,,,,CFR REGTalks Session: The Assembling of Evidence - Understanding the Role of Data in Regulatory Design,Health Canada (HC),24,Communities,Communities,GC Interdepartmental,,"DataCentric , Climate, RegTech"
Data Science Network for the Federal Public Service,25,8,DSNFPS,DataTalent,Communities,Communities,GC Interdepartmental,,,"Communities, Communities, Communities, Communities, Communities, Communities","Communities, Communities",https://www.statcan.gc.ca/eng/data-science/network/about,Original Prototype,,,,,,,Legacy,,2,,,,1,Thom Kearney,3/20/2023 7:32am,1/27/2021,"880, 5958","33, 5247, 6088, 6089, 6090, 6091","33, 5247, 6088, 6089, 6090, 6091","880, 5958",6,2,"DataTalent, DataTalent, DataTalent, DataTalent, DataTalent, DataTalent","DataTalent, DataTalent",,,Réseau de la science des données pour la fonction publique fédérale,Communautés ,Communautés,,,https://www.statcan.gc.ca/fr/science-donnees/reseau/apropos,,,,,,,,1,"Data Science Network for the Federal Public Service Newsletter, Data Science training ","Statistics Canada (StatCan), Statistics Canada (StatCan), DSN developed Data Science Analyst competencies profile, DSN developed Data Science Engineer competencies profile, DSN developed Data Science Manager competencies profile, DSN developed Data Science Visualization Specialist competencies profile",25,Communities,Communities,GC Interdepartmental,,DataTalent
Evaluation community,26,1,,"DataCentric , Climate",Communities,,GC Interdepartmental,,,Communities,,,Original Prototype,,,,,,,Legacy,,,,checked,,2,Thom Kearney,3/20/2023 7:32am,1/27/2021,,6,6,,1,0,"DataCentric , Climate",,,,,Communautés ,,,,,,,,,,,,,,Treasury Board of Canada Secretariat (TBS),26,Communities,,GC Interdepartmental,,"DataCentric , Climate"
